Date,Open,High,Low,Close,Volume,Market_Cap
Oct 02  2019,0.008789,0.008906,0.008450,0.008582,444,391 753
Oct 01  2019,0.008583,0.009212,0.008516,0.008789,278,401 192
Sep 30  2019,0.009616,0.009616,0.008347,0.008581,216,391 716
Sep 29  2019,0.011106,0.011110,0.008836,0.009617,64,438 985
Sep 28  2019,0.010464,0.011370,0.009046,0.011105,282,506 917
Sep 27  2019,0.008054,0.010479,0.007939,0.010463,483,477 611
Sep 26  2019,0.008648,0.008653,0.007716,0.008055,269,367 697
Sep 25  2019,0.008544,0.008826,0.008373,0.008649,811,394 785
Sep 24  2019,0.009863,0.009906,0.008265,0.008528,821,389 290
Sep 23  2019,0.011294,0.011298,0.009861,0.009861,2 447,450 141
Sep 22  2019,0.011109,0.011301,0.010982,0.011293,594,515 514
Sep 21  2019,0.011653,0.011965,0.011083,0.011111,1 932,507 194
Sep 20  2019,0.011915,0.012083,0.010496,0.011658,6 865,532 176
Sep 19  2019,0.011128,0.013675,0.010755,0.011898,7 111,543 116
Sep 18  2019,0.011295,0.015146,0.010905,0.011120,14 581,507 620
Sep 17  2019,0.010182,0.011410,0.010153,0.011300,4 741,515 819
Sep 16  2019,0.009893,0.010568,0.009890,0.010182,356,464 766
Sep 15  2019,0.010886,0.010905,0.009881,0.009893,273,451 578
Sep 14  2019,0.010423,0.011035,0.010038,0.010886,478,496 907
Sep 13  2019,0.010091,0.011868,0.010072,0.010420,658,475 667
Sep 12  2019,0.010136,0.010530,0.009717,0.010092,312,460 690
Sep 11  2019,0.010219,0.010310,0.010032,0.010133,412,462 558
Sep 10  2019,0.010099,0.011906,0.009039,0.010219,2 679,466 462
Sep 09  2019,0.010628,0.010641,0.009914,0.010102,98,461 139
Sep 08  2019,0.010297,0.010739,0.010292,0.010628,244,485 135
Sep 07  2019,0.010256,0.010487,0.009961,0.010304,807,470 332
Sep 06  2019,0.010515,0.010853,0.010180,0.010253,276,468 021
Sep 05  2019,0.010457,0.010682,0.010398,0.010515,648,479 979
Sep 04  2019,0.010463,0.010677,0.010213,0.010456,1 402,477 288
Sep 03  2019,0.010805,0.011114,0.010418,0.010466,2 066,477 759
Sep 02  2019,0.010878,0.011250,0.009974,0.010804,821,493 154
Sep 01  2019,0.010523,0.011120,0.008910,0.010878,16 776,496 535
Aug 31  2019,0.010503,0.010669,0.009850,0.010521,1 637,480 267
Aug 30  2019,0.009562,0.011225,0.009399,0.010499,7 171,479 259
Aug 29  2019,0.010317,0.010317,0.009138,0.009573,1 494,436 996
Aug 28  2019,0.010755,0.011447,0.009879,0.010316,9 641,470 896
Aug 27  2019,0.010010,0.010813,0.008591,0.010754,3 198,490 890
Aug 26  2019,0.009183,0.010029,0.009180,0.010008,4 174,456 839
Aug 25  2019,0.010406,0.018183,0.008650,0.009174,16 172,418 789
Aug 24  2019,0.010213,0.011205,0.008845,0.010406,3 305,475 015
Aug 23  2019,0.008756,0.010245,0.008717,0.010214,3 865,466 254
Aug 22  2019,0.010126,0.010162,0.008592,0.008756,676,399 680
Aug 21  2019,0.010494,0.010599,0.009338,0.010126,2 692,462 207
Aug 20  2019,0.011669,0.011692,0.008306,0.010494,6 207,479 038
Aug 19  2019,0.011440,0.011834,0.011010,0.011669,871,532 656
Aug 18  2019,0.012580,0.013178,0.010389,0.011435,2 776,521 970
Aug 17  2019,0.010412,0.022952,0.010275,0.012581,1 267,574 301
Aug 16  2019,0.011244,0.012399,0.010054,0.010410,9 555,475 170
Aug 15  2019,0.011530,0.013702,0.010599,0.011243,12 666,513 207
Aug 14  2019,0.011563,0.012781,0.010642,0.011530,16 362,526 305
Aug 13  2019,0.010842,0.016900,0.010676,0.011565,4 530,527 904
Aug 12  2019,0.012020,0.012114,0.010822,0.010843,2 850,494 956
Aug 11  2019,0.011418,0.012020,0.010745,0.012017,2 481,548 537
Aug 10  2019,0.012335,0.012403,0.011252,0.011419,3 485,521 234
Aug 09  2019,0.012929,0.015217,0.010760,0.012335,33 010,563 080
Aug 08  2019,0.012326,0.012937,0.011732,0.012935,1 093,590 431
Aug 07  2019,0.012092,0.012814,0.011157,0.012326,6 338,562 633
Aug 06  2019,0.013398,0.013400,0.011727,0.012095,4 843,552 119
Aug 05  2019,0.014020,0.016104,0.013235,0.013412,12 644,612 204
Aug 04  2019,0.014316,0.014787,0.013084,0.014022,4 690,640 091
Aug 03  2019,0.014630,0.016068,0.013868,0.014313,3 338,653 372
