Date,Open,High,Low,Close,Volume,Market_Cap
Oct 02  2019,0.044188,0.044265,0.005768,0.008388,105,446 166
Oct 01  2019,0.016597,0.044851,0.004554,0.044174,1 334,2 349 775
Sep 30  2019,0.016271,0.016693,0.015709,0.016597,-,882 883
Sep 29  2019,0.017081,0.017081,0.016230,0.016274,46,865 656
Sep 28  2019,0.017081,0.017081,0.017081,0.017081,-,908 604
Sep 27  2019,0.017081,0.017081,0.017081,0.017081,-,908 604
Sep 26  2019,0.017081,0.017081,0.017081,0.017081,-,908 604
Sep 25  2019,0.017458,0.017813,0.016949,0.017081,-,908 604
Sep 24  2019,0.019827,0.020008,0.016872,0.017434,3,927 403
Sep 23  2019,0.037420,0.037420,0.019822,0.019823,2,1 054 475
Sep 22  2019,0.037382,0.037557,0.036996,0.037420,-,1 990 520
Sep 21  2019,0.030240,0.037589,0.020117,0.037378,193,1 988 288
Sep 20  2019,0.023715,0.030407,0.023715,0.030253,547,1 609 296
Sep 19  2019,0.023555,0.023786,0.022760,0.023715,-,1 261 510
Sep 18  2019,0.025967,0.025967,0.023541,0.023552,196,1 252 820
Sep 17  2019,0.025967,0.025967,0.025967,0.025967,-,1 381 292
Sep 16  2019,0.025967,0.025967,0.025967,0.025967,-,1 381 292
Sep 15  2019,0.025987,0.026074,0.025883,0.025967,-,1 381 292
Sep 14  2019,0.030014,0.030059,0.025971,0.025987,5,1 382 366
Sep 13  2019,0.026123,0.030031,0.025839,0.030031,2,1 597 475
Sep 12  2019,0.032538,0.032538,0.025534,0.026103,128,1 388 513
Sep 11  2019,0.032784,0.033075,0.032335,0.032538,-,1 730 809
Sep 10  2019,0.032860,0.033406,0.032408,0.032782,7,1 743 798
Sep 09  2019,0.033726,0.033770,0.032860,0.032860,-,1 747 948
Sep 08  2019,0.031334,0.034140,0.031287,0.033719,1,1 793 658
Sep 07  2019,0.026571,0.031417,0.026571,0.031330,1,1 666 537
Sep 06  2019,0.026571,0.026571,0.026571,0.026571,-,1 413 417
Sep 05  2019,0.026571,0.026571,0.026571,0.026571,-,1 413 417
Sep 04  2019,0.026792,0.026800,0.026448,0.026571,-,1 413 417
Sep 03  2019,0.027759,0.027759,0.026224,0.026800,110,1 425 605
Sep 02  2019,0.027759,0.027759,0.027759,0.027759,-,1 476 587
Sep 01  2019,0.027759,0.027759,0.027759,0.027759,-,1 476 587
Aug 31  2019,0.027759,0.027759,0.027759,0.027759,-,1 476 587
Aug 30  2019,0.027759,0.027759,0.027759,0.027759,-,1 476 587
Aug 29  2019,0.027759,0.027759,0.027759,0.027759,-,1 476 587
Aug 28  2019,0.027759,0.027759,0.027759,0.027759,-,1 476 587
Aug 27  2019,0.028312,0.028334,0.027749,0.027759,-,1 476 587
Aug 26  2019,0.031111,0.031111,0.027990,0.028304,8,1 505 614
Aug 25  2019,0.031111,0.031111,0.031111,0.031111,-,1 654 926
Aug 24  2019,0.031111,0.031111,0.031111,0.031111,-,1 654 926
Aug 23  2019,0.031111,0.031111,0.031111,0.031111,-,1 654 926
Aug 22  2019,0.031111,0.031111,0.031111,0.031111,-,1 654 926
Aug 21  2019,0.031111,0.031111,0.031111,0.031111,-,1 654 926
Aug 20  2019,0.031111,0.031111,0.031111,0.031111,-,1 654 926
Aug 19  2019,0.031018,0.031111,0.030894,0.031111,-,1 654 926
Aug 18  2019,0.049407,0.049578,0.030323,0.031003,22,1 649 177
Aug 17  2019,0.041501,0.050464,0.028852,0.049396,111,2 627 548
Aug 16  2019,0.038065,0.052226,0.025195,0.041491,1 291,2 207 051
Aug 15  2019,0.038940,0.039506,0.037960,0.038060,110,2 024 562
Aug 14  2019,0.041465,0.041471,0.038633,0.038940,-,2 071 377
Aug 13  2019,0.045554,0.045554,0.041206,0.041484,34,2 206 698
Aug 12  2019,0.043867,0.045696,0.043185,0.045538,3,2 422 361
Aug 11  2019,0.045697,0.045697,0.043364,0.043861,12,2 333 140
Aug 10  2019,0.047682,0.047932,0.045658,0.045697,-,2 430 788
Aug 09  2019,0.052249,0.052249,0.047511,0.047682,21,2 536 389
Aug 08  2019,0.053780,0.053888,0.051884,0.052249,-,2 779 301
